timestamp,open,high,low,close,volume
2016-01-04 05:00:00+00:00,35.13,35.56,34.28,34.75,13463207.0
2016-01-05 05:00:00+00:00,34.98,34.98,33.86,34.31,11879480.0
2016-01-06 05:00:00+00:00,33.7,34.01,33.21,33.98,9676258.0
2016-01-07 05:00:00+00:00,33.15,34.161,33.02,33.13,11946708.0
2016-01-08 05:00:00+00:00,33.46,33.88,32.63,32.69,8901481.0
2016-01-11 05:00:00+00:00,33.02,33.43,32.47,33.04,9635859.0
2016-01-12 05:00:00+00:00,33.35,33.57,32.66,33.08,8470525.0
2016-01-13 05:00:00+00:00,33.28,33.57,31.97,32.12,8672826.0
2016-01-14 05:00:00+00:00,32.15,33.04,31.705,32.87,8370148.0
2016-01-15 05:00:00+00:00,31.62,32.54,31.62,32.31,13669253.0
2016-01-19 05:00:00+00:00,32.76,33.18,31.93,32.2,7161770.0
2016-01-20 05:00:00+00:00,31.43,31.7,30.52,31.2,13569398.0
2016-01-21 05:00:00+00:00,31.61,31.74,30.9,31.2,10336637.0
2016-01-22 05:00:00+00:00,31.65,31.97,31.54,31.69,10571571.0
2016-01-25 05:00:00+00:00,31.98,31.98,31.35,31.47,7976039.0
2016-01-26 05:00:00+00:00,31.49,31.98,31.39,31.97,8996771.0
2016-01-27 05:00:00+00:00,31.96,32.63,31.38,31.59,13192082.0
2016-01-28 05:00:00+00:00,33.63,34.75,33.35,34.24,21038570.0
2016-01-29 05:00:00+00:00,34.49,36.26,34.36,36.14,23052054.0
2016-02-01 05:00:00+00:00,35.65,37.32,35.59,37.08,19368716.0
2016-02-02 05:00:00+00:00,36.53,37.77,36.44,36.83,17617947.0
2016-02-03 05:00:00+00:00,36.87,37.55,36.07,37.01,14878884.0
2016-02-04 05:00:00+00:00,36.66,37.285,36.54,37.17,11116080.0
2016-02-05 05:00:00+00:00,37.16,37.16,34.82,35.07,17031755.0
2016-02-08 05:00:00+00:00,34.0,34.29,31.98,33.61,21128880.0
2016-02-09 05:00:00+00:00,32.8,33.858,31.64,32.7,16966674.0
2016-02-10 05:00:00+00:00,33.62,33.94,32.82,32.9,9089862.0
2016-02-11 05:00:00+00:00,32.12,33.64,32.01,33.52,13679030.0
2016-02-12 05:00:00+00:00,33.97,34.44,33.81,34.3,11001470.0
2016-02-16 05:00:00+00:00,34.65,35.52,34.48,35.46,9947252.0
2016-02-17 05:00:00+00:00,35.98,36.91,35.81,36.36,12999303.0
